link_meci,data_meci,echipa_gazda,echipa_oaspete,forma_puncte_gazda,forma_puncte_oaspete,h2h_victorii_gazda,h2h_gazda,medie_goluri_gazda,medie_goluri_oaspete,medie_goluri_primite_gazda,medie_goluri_primite_oaspete,medie_suturi_pe_poarta_gazda,medie_suturi_pe_poarta_oaspete,medie_total_suturi_gazda,medie_total_suturi_oaspete,medie_cornere_gazda,medie_cornere_oaspete,medie_cartonase_galbene_gazda,medie_cartonase_galbene_oaspete,medie_cartonase_rosii_gazda,medie_cartonase_rosii_oaspete,medie_ofsaiduri_gazda,medie_ofsaiduri_oaspete,medie_lovituri_libere_gazda,medie_lovituri_libere_oaspete,medie_interventii_portar_gazda,medie_interventii_portar_oaspete,medie_posesie_minge_gazda,medie_posesie_minge_oaspete,rezultat,loc_clasament_gazda,loc_clasament_oaspete
https://www.flashscore.ro/meci/fotbal/poli-iasi-t84qisiU/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=dSweN72B,2020-10-02,Univ. Craiova,Poli Iași,6,3,0,0.0,2.0,1.5,0.5,3.0,7.5,5.0,13.5,8.5,7.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,13.5,19.0,1.5,1.5,50.0,47.5,1,1,4
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/sepsi-IDsPIcMA/sumar/statistici/0/?mid=benOMeTc,2020-10-03,Sepsi Sf. Gheorghe,FC Argeș,1,0,0,0.0,0.5,0.0,1.0,2.5,4.0,3.5,11.0,7.0,8.0,3.5,3.0,2.0,0.0,0.0,2.5,3.0,15.0,18.5,2.5,2.5,50.0,49.5,1,9,15
https://www.flashscore.ro/meci/fotbal/fc-astra-EihjKDVb/fc-voluntari-WIoSeFi4/sumar/statistici/0/?mid=QslGOHbo,2020-10-03,Astra Giurgiu,FC Voluntari,1,1,0,0.0,0.7,0.5,2.3,1.0,2.3,2.5,4.3,7.5,4.7,3.5,3.7,2.0,0.0,0.0,1.0,2.0,15.3,13.5,5.3,3.5,42.0,50.0,2,16,7
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=viTaMRHH,2020-10-03,FCSB,Dinamo București,6,3,0,0.0,3.0,1.5,0.0,1.0,8.5,2.5,14.0,7.0,6.5,2.5,0.5,1.0,0.0,0.0,1.0,2.5,16.5,22.0,3.0,2.5,57.5,52.5,1,3,12
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=ncIZFPfo,2020-10-04,FC Botoșani,Chindia Târgoviște,4,1,0,0.0,2.0,0.0,0.0,0.5,4.5,2.0,10.0,8.5,5.0,3.5,2.5,3.5,0.0,0.0,2.0,1.5,18.0,13.5,3.5,3.0,54.5,42.0,2,7,14
https://www.flashscore.ro/meci/fotbal/fc-hermannstadt-pUUuFXvI/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=4YnKNyEi,2020-10-04,Gaz Metan Mediaș,FC Hermannstadt,3,4,0,0.0,1.5,1.3,1.5,1.0,4.0,2.3,5.5,5.3,2.5,2.3,2.5,2.7,0.0,0.0,3.5,0.3,24.5,13.7,2.5,4.0,49.0,44.0,0,10,8
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/viitorul-constanta-billykZb/sumar/statistici/0/?mid=plW7K5nU,2020-10-04,FC Viitorul,CFR Cluj,4,6,0,0.0,2.0,2.0,2.0,0.5,5.0,4.5,10.0,11.0,4.7,5.5,2.3,3.0,0.0,0.0,1.7,1.0,18.3,16.0,1.7,0.5,49.0,58.0,0,13,3
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=jRW3LoXN,2020-10-05,UTA Arad,LPS HD Clinceni,1,2,0,0.0,1.0,1.0,1.5,1.0,2.5,4.0,7.5,6.0,2.5,5.0,2.5,3.0,0.0,0.0,1.5,1.5,12.0,14.5,2.5,3.5,50.0,48.0,0,11,13
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fc-astra-EihjKDVb/sumar/statistici/0/?mid=vFJFCB5j,2020-10-16,FC Argeș,Astra Giurgiu,1,0,0,0.0,1.3,0.5,2.0,3.0,4.3,2.0,7.0,6.5,4.3,4.5,2.0,2.0,0.0,0.0,2.7,2.0,19.7,13.0,3.0,5.0,47.0,50.0,1,15,16
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=QBFBDijp,2020-10-17,Chindia Târgoviște,Gaz Metan Mediaș,3,3,0,0.0,1.0,1.7,1.5,1.7,2.0,3.0,7.5,6.3,6.0,4.3,3.5,2.3,0.0,0.0,1.5,1.3,20.5,26.0,1.0,4.0,46.5,48.0,1,9,11
